ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;5;Virtual Edge;0;1;demo;10:9:8.921;10:9:11.556;325;140;27.95084971874737;0
2;5;Virtual Edge;0;2;demo;10:9:11.556;10:9:13.620;481;104;13.901438774457844;1
3;5;Virtual Edge;0;3;demo;10:9:13.620;10:9:14.889;671;103;11.800423721205947;1
4;5;Virtual Edge;0;4;demo;10:9:14.889;10:9:15.607;848;117;12.816005617976296;1
5;5;Virtual Edge;0;5;demo;10:9:15.607;10:9:16.229;1007;113;1.118033988749895;1
6;5;Virtual Edge;0;6;demo;10:9:16.229;10:9:16.708;1186;106;8.845903006477066;1
7;5;Virtual Edge;0;7;demo;10:9:16.708;10:9:17.449;1381;272;30.696090956341656;1
8;5;Virtual Edge;0;8;demo;10:9:17.449;10:9:18.181;1391;438;24.253865671269807;1
9;5;Virtual Edge;0;9;demo;10:9:18.181;10:9:18.617;1399;606;23.070543990118654;1
10;5;Virtual Edge;0;10;demo;10:9:18.617;10:9:19.83;1393;738;20.74246851269154;1
11;5;Virtual Edge;0;11;demo;10:9:19.83;10:9:19.662;1170;889;10.111874208078342;1
12;5;Virtual Edge;0;12;demo;10:9:19.662;10:9:20.22;979;901;31.988279103446626;1
13;5;Virtual Edge;0;13;demo;10:9:20.22;10:9:20.341;802;891;34.1796723214252;1
14;5;Virtual Edge;0;14;demo;10:9:20.341;10:9:20.701;634;896;31.18092365533773;1
15;5;Virtual Edge;0;15;demo;10:9:20.701;10:9:21.28;461;885;31.100643080167973;1
16;5;Virtual Edge;0;16;demo;10:9:21.28;10:9:21.399;324;880;8.5;1
17;5;Virtual Edge;0;17;demo;10:9:21.399;10:9:22.28;116;716;42.14558102577303;1
18;5;Virtual Edge;0;18;demo;10:9:22.28;10:9:22.288;105;590;8.5;1
19;5;Virtual Edge;0;19;demo;10:9:22.288;10:9:22.698;110;409;5.5901699437494745;1
20;5;Virtual Edge;0;20;demo;10:9:22.698;10:9:22.982;120;239;8.077747210701755;1
21;5;Virtual Edge;0;21;demo;10:9:22.982;10:9:24.496;752;500;2;1
22;5;Virtual Edge;1;1;1;10:9:27.419;10:9:28.900;340;118;20.74246851269154;1
