Part;Cond;Block;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;0;0;1;13:30:11:889;13:30:11:32;514;378;328.82556165845745;0
1;0;0;2;13:30:12:81;13:30:11:889;539;471;361.5677668155722;0
1;0;0;3;13:30:12:271;13:30:12:81;555;483;386.20104867801695;0
1;0;0;4;13:30:12:454;13:30:12:271;543;485;473.92536332211637;0
1;0;0;5;13:30:12:631;13:30:12:454;543;486;596.4287467921042;0
1;0;0;6;13:30:12:812;13:30:12:631;536;484;743.4704096330936;0
1;0;0;7;13:30:12:982;13:30:12:812;536;486;885.7698628876465;0
1;0;0;8;13:30:13:171;13:30:12:982;525;494;866.2021992583487;0
1;0;0;9;13:30:13:329;13:30:13:171;533;498;859.0193536818597;0
1;0;0;10;13:30:13:510;13:30:13:329;518;504;905.8400797050217;0
1;0;0;11;13:30:13:679;13:30:13:510;509;505;772.3647130727815;0
1;0;0;12;13:30:13:850;13:30:13:679;516;515;617.1063522602891;0
1;0;0;13;13:30:14:12;13:30:13:850;523;520;482.7268896591529;0
1;0;0;14;13:30:14:210;13:30:14:12;523;513;400.16402886816303;0
1;0;0;15;13:30:14:390;13:30:14:210;535;507;382.92198944432533;0
1;0;0;16;13:30:14:562;13:30:14:390;556;498;455.41876333765606;0
1;0;0;17;13:30:14:792;13:30:14:562;568;496;525.4752610732497;0
1;0;0;18;13:30:15:162;13:30:14:792;573;503;467.92013207384014;0
1;0;0;19;13:30:15:380;13:30:15:162;568;513;466.13436903965794;0
1;0;0;20;13:30:16:416;13:30:15:380;111;271;29.038767191463208;1
1;0;0;21;13:30:17:680;13:30:16:416;750;497;3;1
1;0;1;1;13:30:20:768;13:30:20:85;344;117;24.41823089414956;1
1;0;1;2;13:30:21:792;13:30:20:768;1195;877;18.309833423600555;1
1;0;1;3;13:30:22:935;13:30:21:792;1216;98;38.81043674065006;0
1;0;1;4;13:30:23:818;13:30:22:935;343;880;24.19194080680589;1
1;0;1;5;13:30:25:18;13:30:23:818;758;505;9.433981132056603;1
1;0;2;1;13:30:27:708;13:30:26:774;114;269;27.04163456597992;1
1;0;2;2;13:30:28:692;13:30:27:708;1391;753;6.103277807866851;1
1;0;2;3;13:30:29:514;13:30:28:692;98;776;23.11384866265244;0
1;0;2;4;13:30:30:350;13:30:29:514;1396;261;20.81465829649865;1
1;0;2;5;13:30:30:986;13:30:30:350;762;500;12;1
1;0;3;1;13:30:33:635;13:30:32:700;506;109;14.430869689661812;1
1;0;3;2;13:30:34:678;13:30:33:635;696;112;32.00390601161052;1
1;0;3;3;13:30:35:6;13:30:34:678;817;115;19.1637678967368;1
1;0;3;4;13:30:35:349;13:30:35:6;987;111;21.0535032714273;1
1;0;3;5;13:30:35:868;13:30:35:349;756;505;7.810249675906654;1
1;0;4;1;13:30:38:143;13:30:37:552;523;880;31.894356867634123;1
1;0;4;2;13:30:38:483;13:30:38:143;660;894;7.632168761236874;1
1;0;4;3;13:30:38:824;13:30:38:483;847;879;13.901438774457844;1
1;0;4;4;13:30:39:203;13:30:38:824;979;890;29.107559155655768;1
1;0;4;5;13:30:40:468;13:30:39:203;765;507;16.55294535724685;1
1;0;5;1;13:30:42:579;13:30:41:876;130;272;34.73110997362451;0
1;0;5;2;13:30:43:73;13:30:42:579;95;452;41.8359892915179;0
1;0;5;3;13:30:43:544;13:30:43:73;107;622;36.41771546926029;1
1;0;5;4;13:30:43:915;13:30:43:544;118;775;17.867568385205637;1
1;0;5;5;13:30:44:384;13:30:43:915;760;490;14.142135623730951;1
1;0;6;1;13:30:46:457;13:30:45:887;1381;275;33.63406011768428;1
1;0;6;2;13:30:46:781;13:30:46:457;1374;419;14.396180048887969;0
1;0;6;3;13:30:47:186;13:30:46:781;1392;604;18.553975315279473;1
1;0;6;4;13:30:47:536;13:30:47:186;1386;756;2.5;1
1;0;6;5;13:30:48:98;13:30:47:536;746;475;25.317977802344327;1
1;0;7;1;13:30:50:567;13:30:49:741;365;102;46.20876540224809;1
1;0;7;2;13:30:51:234;13:30:50:567;343;873;27.189152248645048;0
1;0;7;3;13:30:52:20;13:30:51:234;521;132;34.9463875100131;0
1;0;7;4;13:30:52:647;13:30:52:20;527;882;35.42950747611375;1
1;0;7;5;13:30:53:169;13:30:52:647;764;504;14.560219778561036;1
1;0;8;1;13:30:55:755;13:30:54:633;1147;881;33.63406011768428;1
1;0;8;2;13:30:56:303;13:30:55:755;1178;133;20.59732992404598;0
1;0;8;3;13:30:56:866;13:30:56:303;990;898;20.838665984174707;1
1;0;8;4;13:30:57:431;13:30:56:866;1002;115;6.5;1
1;0;8;5;13:30:57:993;13:30:57:431;757;510;12.206555615733702;1
1;0;9;1;13:31:0:542;13:30:59:623;122;273;32.42298567374695;1
1;0;9;2;13:31:1:429;13:31:0:542;1388;285;43.00290687848904;1
1;0;9;3;13:31:2:202;13:31:1:429;126;456;44.11632350955823;0
1;0;9;4;13:31:2:911;13:31:2:202;1392;414;4.5;1
1;0;9;5;13:31:3:642;13:31:2:911;751;508;8.06225774829855;1
1;0;10;1;13:31:6:25;13:31:5:277;1384;778;20.303940504246953;1
1;0;10;2;13:31:6:728;13:31:6:25;99;781;26.669270706189174;0
1;0;10;3;13:31:7:354;13:31:6:728;1409;594;22.940139493908923;0
1;0;10;4;13:31:8:118;13:31:7:354;116;586;3.5;1
