Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;1;0;5;1;30-04-2018 13:38:19:596;30-04-2018 13:38:19:96;910;583;754.6325265;0
1;1;0;5;2;30-04-2018 13:38:19:736;30-04-2018 13:38:19:596;908;596;637.8308945;0
1;1;0;5;3;30-04-2018 13:38:19:884;30-04-2018 13:38:19:736;906;589;534.4307719;0
1;1;0;5;4;30-04-2018 13:38:20:38;30-04-2018 13:38:19:884;895;593;484.1087171;0
1;1;0;5;5;30-04-2018 13:38:20:176;30-04-2018 13:38:20:38;880;590;494.3584226;0
1;1;0;5;6;30-04-2018 13:38:20:336;30-04-2018 13:38:20:176;868;594;573.747549;0
1;1;0;5;7;30-04-2018 13:38:20:704;30-04-2018 13:38:20:336;846;594;645.853118;0
1;1;0;5;8;30-04-2018 13:38:20:915;30-04-2018 13:38:20:704;839;597;578.2224918;0
1;1;0;5;9;30-04-2018 13:38:21:84;30-04-2018 13:38:20:915;833;598;554.6298315;0
1;1;0;5;10;30-04-2018 13:38:21:244;30-04-2018 13:38:21:84;821;606;586.5375095;0
1;1;0;5;11;30-04-2018 13:38:21:418;30-04-2018 13:38:21:244;817;599;463.6822727;0
1;1;0;5;12;30-04-2018 13:38:21:794;30-04-2018 13:38:21:418;813;603;344.9133949;0
1;1;0;5;13;30-04-2018 13:38:22:104;30-04-2018 13:38:21:794;813;601;287.4217285;0
1;1;0;5;14;30-04-2018 13:38:22:404;30-04-2018 13:38:22:104;799;594;323.0592051;0
1;1;0;5;15;30-04-2018 13:38:22:677;30-04-2018 13:38:22:404;788;595;416.1397001;0
1;1;0;5;16;30-04-2018 13:38:22:994;30-04-2018 13:38:22:677;783;587;551.9685227;0
1;1;0;5;17;30-04-2018 13:38:23:266;30-04-2018 13:38:22:994;795;589;703.1125443;0
1;1;0;5;18;30-04-2018 13:38:23:435;30-04-2018 13:38:23:266;792;593;679.536055;0
1;1;0;5;19;30-04-2018 13:38:23:696;30-04-2018 13:38:23:435;788;592;698.5586947;0
1;1;0;5;20;30-04-2018 13:38:24:144;30-04-2018 13:38:23:696;776;599;753.4462489;0
1;1;0;5;21;30-04-2018 13:38:24:805;30-04-2018 13:38:24:144;763;498;13.15294644;1
1;1;1;5;1;30-04-2018 13:38:26:989;30-04-2018 13:38:26:258;367;112;47.0026595;1
1;1;1;5;2;30-04-2018 13:38:27:942;30-04-2018 13:38:26:989;1145;882;35.42950748;1
1;1;1;5;3;30-04-2018 13:38:28:737;30-04-2018 13:38:27:942;1163;106;18.20027472;1
1;1;1;5;4;30-04-2018 13:38:29:375;30-04-2018 13:38:28:737;339;865;29.44910865;0
1;1;1;5;5;30-04-2018 13:38:30:17;30-04-2018 13:38:29:375;762;513;17.69180601;1
1;1;2;5;1;30-04-2018 13:38:32:352;30-04-2018 13:38:31:501;107;294;52.29005642;1
1;1;2;5;2;30-04-2018 13:38:33:159;30-04-2018 13:38:32:352;1418;778;36.47259245;1
1;1;2;5;3;30-04-2018 13:38:33:887;30-04-2018 13:38:33:159;97;760;15.62849961;1
1;1;2;5;4;30-04-2018 13:38:34:558;30-04-2018 13:38:33:887;1395;263;22.29910312;1
1;1;2;5;5;30-04-2018 13:38:35:159;30-04-2018 13:38:34:558;742;485;17;1
1;1;3;5;1;30-04-2018 13:38:37:524;30-04-2018 13:38:36:734;501;104;12.3794184;1
1;1;3;5;2;30-04-2018 13:38:38:372;30-04-2018 13:38:37:524;671;114;7.158910532;1
1;1;3;5;3;30-04-2018 13:38:38:863;30-04-2018 13:38:38:372;855;100;22.74313083;1
1;1;3;5;4;30-04-2018 13:38:39:243;30-04-2018 13:38:38:863;1011;88;24.68299009;1
1;1;3;5;5;30-04-2018 13:38:39:741;30-04-2018 13:38:39:243;757;495;8.602325267;1
1;1;4;5;1;30-04-2018 13:38:41:586;30-04-2018 13:38:41:141;486;888;6.020797289;1
1;1;4;5;2;30-04-2018 13:38:41:928;30-04-2018 13:38:41:586;636;915;39.24601891;1
1;1;4;5;3;30-04-2018 13:38:42:317;30-04-2018 13:38:41:928;847;909;24.15056935;1
1;1;4;5;4;30-04-2018 13:38:42:667;30-04-2018 13:38:42:317;990;913;31.21297807;1
1;1;4;5;5;30-04-2018 13:38:43:248;30-04-2018 13:38:42:667;756;478;22.8035085;1
1;1;5;5;1;30-04-2018 13:38:45:648;30-04-2018 13:38:44:694;97;247;16.28649747;1
1;1;5;5;2;30-04-2018 13:38:46:27;30-04-2018 13:38:45:648;105;418;8.5;1
1;1;5;5;3;30-04-2018 13:38:46:425;30-04-2018 13:38:46:27;103;614;29.56771888;1
1;1;5;5;4;30-04-2018 13:38:46:737;30-04-2018 13:38:46:425;108;786;28.35930182;1
