Part;Cond;Block;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
3;0;0;1;13:57:42:129;13:57:41:141;326;111;6.18465843842649;1
3;0;0;2;13:57:42:663;13:57:42:129;510;110;18.172781845386247;1
3;0;0;3;13:57:43:146;13:57:42:663;678;114;14.080127840328723;1
3;0;0;4;13:57:43:697;13:57:43:146;835;109;3.640054944640259;1
3;0;0;5;13:57:44:276;13:57:43:697;1024;118;16.91892431568863;1
3;0;0;6;13:57:44:805;13:57:44:276;1201;126;24.964975465639856;0
3;0;0;7;13:57:45:435;13:57:44:805;1393;255;14.115594213493104;1
3;0;0;8;13:57:46:19;13:57:45:435;1386;417;3.3541019662496847;1
3;0;0;9;13:57:46:526;13:57:46:19;1390;599;13.238202294873727;1
3;0;0;10;13:57:46:991;13:57:46:526;1387;760;2.0615528128088303;1
3;0;0;11;13:57:47:554;13:57:46:991;1163;898;19.981241202688086;1
3;0;0;12;13:57:48:24;13:57:47:554;994;893;15.041608956491324;1
3;0;0;13;13:57:48:454;13:57:48:24;819;893;17.867568385205637;1
3;0;0;14;13:57:48:854;13:57:48:454;666;884;4.031128874149275;1
3;0;0;15;13:57:49:203;13:57:48:854;492;888;0.5;1
3;0;0;16;13:57:49:577;13:57:49:203;300;884;20.303940504246953;1
3;0;0;17;13:57:50:10;13:57:49:577;108;769;11.884864324004713;1
3;0;0;18;13:57:50:696;13:57:50:10;110;421;165.0189383070925;0
3;0;0;19;13:57:51:159;13:57:50:696;109;259;155.0395110931404;0
3;0;0;20;13:57:52:370;13:57:51:159;114;248;6.18465843842649;1
3;0;0;21;13:57:53:580;13:57:52:370;742;518;19.697715603592208;1
3;0;1;1;13:57:56:264;13:57:55:388;321;119;6.576473218982953;1
3;0;1;2;13:57:57:127;13:57:56:264;1207;889;27.04163456597992;1
3;0;1;3;13:57:57:860;13:57:57:127;1195;105;16.77050983124842;1
3;0;1;4;13:57:58:664;13:57:57:860;351;892;31.32491021535417;1
3;0;1;5;13:57:59:324;13:57:58:664;773;489;25.495097567963924;1
3;0;2;1;13:58:1:726;13:58:0:894;108;229;13.756816492197604;1
3;0;2;2;13:58:2:632;13:58:1:726;1401;741;21.70829334609241;0
3;0;2;3;13:58:3:772;13:58:2:632;106;786;28.74456470360962;1
3;0;2;4;13:58:4:566;13:58:3:772;1395;250;10.965856099730654;1
3;0;2;5;13:58:5:252;13:58:4:566;747;510;10.44030650891055;1
3;0;3;1;13:58:7:732;13:58:6:887;518;112;26.004807247891687;1
3;0;3;2;13:58:8:527;13:58:7:732;669;99;14.396180048887969;0
3;0;3;3;13:58:9:415;13:58:8:527;859;106;23.90083680543424;1
3;0;3;4;13:58:10:235;13:58:9:415;1025;110;17.18284027743958;1
3;0;3;5;13:58:11:13;13:58:10:235;760;506;11.661903789690601;1
3;0;4;1;13:58:13:316;13:58:12:525;510;887;18.006943105369107;1
3;0;4;2;13:58:13:824;13:58:13:316;694;896;31.18092365533773;1
3;0;4;3;13:58:14:325;13:58:13:824;845;887;9.013878188659973;1
3;0;4;4;13:58:14:833;13:58:14:325;1006;879;8.73212459828649;1
3;0;4;5;13:58:15:535;13:58:14:833;750;507;7;1
3;0;5;1;13:58:17:955;13:58:17:88;96;244;16.62077013859466;0
3;0;5;2;13:58:18:725;13:58:17:955;125;415;12.539936203984453;1
3;0;5;3;13:58:19:277;13:58:18:725;120;598;14.150971698084906;1
3;0;5;4;13:58:19:866;13:58:19:277;112;754;4.031128874149275;1
3;0;5;5;13:58:20:648;13:58:19:866;752;503;3.605551275463989;1
3;0;6;1;13:58:23:16;13:58:22:193;1404;232;19.29378138157474;0
3;0;6;2;13:58:23:566;13:58:23:16;1386;376;38.029593739612835;1
3;0;6;3;13:58:24:45;13:58:23:566;1392;556;30.335622624235025;1
3;0;6;4;13:58:24:558;13:58:24:45;1389;726;32.035136959282696;1
3;0;6;5;13:58:25:279;13:58:24:558;747;502;3.605551275463989;1
3;0;7;1;13:58:28:7;13:58:26:901;328;115;8.381527307120106;1
3;0;7;2;13:58:28:427;13:58:28:7;497;113;794.4679036940385;0
3;0;7;3;13:58:29:380;13:58:28:427;506;107;15.041608956491324;1
3;0;7;4;13:58:30:241;13:58:29:380;527;894;35.59845502265512;1
3;0;7;5;13:58:30:840;13:58:30:241;768;499;18.027756377319946;1
3;0;8;1;13:58:34:303;13:58:32:384;1192;894;13.647344063956181;1
3;0;8;2;13:58:35:314;13:58:34:303;1177;121;9.013878188659973;1
3;0;8;3;13:58:36:205;13:58:35:314;1000;887;8.0156097709407;1
3;0;8;4;13:58:37:56;13:58:36:205;1020;127;18.82153022471871;0
3;0;8;5;13:58:37:915;13:58:37:56;750;497;3;1
3;0;9;1;13:58:40:534;13:58:39:610;104;242;8.5;1
3;0;9;2;13:58:41:456;13:58:40:534;1371;259;23.69071548096427;0
3;0;9;3;13:58:42:509;13:58:41:456;113;424;10.012492197250394;1
3;0;9;4;13:58:43:295;13:58:42:509;1393;400;15.041608956491324;1
3;0;9;5;13:58:43:911;13:58:43:295;742;506;10;1
3;0;10;1;13:58:46:480;13:58:45:535;1396;749;12.379418403139947;1
3;0;10;2;13:58:47:366;13:58:46:480;119;760;6.800735254367722;1
3;0;10;3;13:58:48:258;13:58:47:366;1393;562;24.62214450449026;1
3;0;10;4;13:58:49:101;13:58:48:258;118;585;5.5901699437494745;1
